epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2773.52,0.42626,0.40865,0.99866,0.96414,0.93468,0.97664,0.88936,0.41241,0.33207,0.95495,0.000420143,0.000420143,0.000420143
43,2838.75,0.42479,0.39928,0.99778,0.95652,0.94656,0.97749,0.8906,0.40272,0.32556,0.94689,0.000406,0.000406,0.000406
44,2914.97,0.42055,0.39609,0.99161,0.97435,0.93564,0.97831,0.89356,0.39992,0.32381,0.94732,0.000391857,0.000391857,0.000391857
45,2985.13,0.41133,0.38468,0.98357,0.97755,0.92478,0.97527,0.8916,0.39941,0.32419,0.94399,0.000377714,0.000377714,0.000377714
46,3056.21,0.41612,0.38546,0.99448,0.96176,0.94319,0.97959,0.89393,0.39888,0.31903,0.94497,0.000363571,0.000363571,0.000363571
47,3132.49,0.39942,0.37353,0.98255,0.95922,0.94482,0.97366,0.89722,0.39302,0.32322,0.94114,0.000349429,0.000349429,0.000349429
48,3203.38,0.40068,0.36807,0.98494,0.97195,0.93833,0.97717,0.89386,0.39374,0.31473,0.94522,0.000335286,0.000335286,0.000335286
49,3278.29,0.39846,0.37681,0.97501,0.96111,0.94196,0.97637,0.89117,0.40433,0.32791,0.95285,0.000321143,0.000321143,0.000321143
50,3350.66,0.39561,0.36332,0.98371,0.96188,0.9508,0.97511,0.89559,0.38361,0.30241,0.93788,0.000307,0.000307,0.000307
51,3426.17,0.38755,0.35096,0.9717,0.96763,0.94538,0.97283,0.88759,0.39097,0.31977,0.94369,0.000292857,0.000292857,0.000292857
52,3493.75,0.39381,0.35759,0.97948,0.96691,0.9532,0.98129,0.90358,0.38083,0.29261,0.92908,0.000278714,0.000278714,0.000278714
53,3564.05,0.39543,0.36964,0.98284,0.97146,0.94514,0.98226,0.90169,0.38349,0.29286,0.9358,0.000264571,0.000264571,0.000264571
54,3634.73,0.37322,0.33819,0.96296,0.97106,0.94596,0.9799,0.90322,0.3783,0.29222,0.93104,0.000250429,0.000250429,0.000250429
55,3707.35,0.38248,0.33666,0.97167,0.9662,0.94582,0.97542,0.89929,0.38484,0.29992,0.9345,0.000236286,0.000236286,0.000236286
56,3773.38,0.37315,0.33611,0.96745,0.9753,0.93907,0.98018,0.90022,0.37795,0.29033,0.92763,0.000222143,0.000222143,0.000222143
57,3843.27,0.3712,0.33967,0.97323,0.97737,0.93829,0.97976,0.90086,0.38572,0.28727,0.93726,0.000208,0.000208,0.000208
58,3908.26,0.36228,0.33914,0.96448,0.96482,0.95281,0.98027,0.90478,0.37226,0.28419,0.9243,0.000193857,0.000193857,0.000193857
59,3961.4,0.36653,0.33558,0.96747,0.97052,0.95112,0.9794,0.90275,0.37343,0.28586,0.92683,0.000179714,0.000179714,0.000179714
60,4031.65,0.36112,0.32782,0.96113,0.97147,0.9417,0.97791,0.90564,0.37471,0.28081,0.9293,0.000165571,0.000165571,0.000165571
61,4150.32,0.27641,0.23918,0.89309,0.95741,0.95131,0.97757,0.89768,0.38363,0.29309,0.93902,0.000151429,0.000151429,0.000151429
62,4201.53,0.2646,0.22198,0.87834,0.96792,0.947,0.97679,0.90047,0.37782,0.28778,0.94029,0.000137286,0.000137286,0.000137286
63,4249.21,0.2632,0.21736,0.88335,0.96487,0.95589,0.97921,0.90092,0.37204,0.28176,0.93293,0.000123143,0.000123143,0.000123143
64,4305.76,0.25087,0.214,0.87183,0.96186,0.9559,0.97871,0.90234,0.36811,0.27733,0.93167,0.000109,0.000109,0.000109
65,4358.04,0.25043,0.20517,0.86634,0.96771,0.94774,0.97786,0.90455,0.36621,0.28144,0.9248,9.48571e-05,9.48571e-05,9.48571e-05
66,4407.25,0.24292,0.20159,0.86834,0.97608,0.94493,0.97852,0.90435,0.3683,0.28384,0.92783,8.07143e-05,8.07143e-05,8.07143e-05
67,4455.75,0.24314,0.2018,0.87157,0.9748,0.94713,0.98101,0.90564,0.36325,0.27504,0.92289,6.65714e-05,6.65714e-05,6.65714e-05
68,4512.9,0.2372,0.19351,0.86811,0.97169,0.95264,0.97921,0.908,0.36298,0.2747,0.92542,5.24286e-05,5.24286e-05,5.24286e-05
69,4567.59,0.23536,0.19448,0.86075,0.97629,0.95341,0.9795,0.90773,0.36239,0.27187,0.9229,3.82857e-05,3.82857e-05,3.82857e-05
70,4613.41,0.23476,0.1875,0.85767,0.97794,0.9444,0.97895,0.9084,0.35884,0.27066,0.92075,2.41429e-05,2.41429e-05,2.41429e-05
